id,year,name,park,wins,losses
2376,2001,"Oakland Athletics","Oakland Coliseum",102,60
2377,2001,"Philadelphia Phillies","Veterans Stadium",86,76
2378,2001,"Pittsburgh Pirates","PNC Park",62,100
2379,2001,"San Diego Padres","Qualcomm Stadium",79,83
2380,2001,"Seattle Mariners","Safeco Field",116,46
2381,2001,"San Francisco Giants","PacBell Park",90,72
2382,2001,"St. Louis Cardinals","Busch Stadium II",93,69
2383,2001,"Tampa Bay Devil Rays","Tropicana Field",62,100
2384,2001,"Texas Rangers","The Ballpark at Arlington",73,89
2385,2001,"Toronto Blue Jays",Skydome,80,82
2386,2002,"Anaheim Angels","Edison International Field",99,63
2387,2002,"Arizona Diamondbacks","Bank One Ballpark",98,64
2388,2002,"Atlanta Braves","Turner Field",101,59
2389,2002,"Baltimore Orioles","Oriole Park at Camden Yards",67,95
2390,2002,"Boston Red Sox","Fenway Park II",93,69
2391,2002,"Chicago White Sox","Comiskey Park II",81,81
2392,2002,"Chicago Cubs","Wrigley Field",67,95
2393,2002,"Cincinnati Reds","Cinergy Field",78,84
2394,2002,"Cleveland Indians","Jacobs Field",74,88
2395,2002,"Colorado Rockies","Coors Field",73,89
2396,2002,"Detroit Tigers","Comerica Park",55,106
2397,2002,"Florida Marlins","Pro Player Stadium",79,83
2398,2002,"Houston Astros","Minute Maid Park",84,78
2399,2002,"Kansas City Royals","Kauffman Stadium",62,100
2400,2002,"Los Angeles Dodgers","Dodger Stadium",92,70
2401,2002,"Milwaukee Brewers","Miller Park",56,106
2402,2002,"Minnesota Twins","Hubert H Humphrey Metrodome",94,67
2403,2002,"Montreal Expos","Stade Olympique",83,79
2404,2002,"New York Yankees","Yankee Stadium II",103,58
2405,2002,"New York Mets","Shea Stadium",75,86
2406,2002,"Oakland Athletics","Oakland Coliseum",103,59
2407,2002,"Philadelphia Phillies","Veterans Stadium",80,81
2408,2002,"Pittsburgh Pirates","PNC Park",72,89
2409,2002,"San Diego Padres","Qualcomm Stadium",66,96
2410,2002,"Seattle Mariners","Safeco Field",93,69
2411,2002,"San Francisco Giants","PacBell Park",95,66
2412,2002,"St. Louis Cardinals","Busch Stadium II",97,65
2413,2002,"Tampa Bay Devil Rays","Tropicana Field",55,106
2414,2002,"Texas Rangers","The Ballpark at Arlington",72,90
2415,2002,"Toronto Blue Jays",Skydome,78,84
2416,2003,"Anaheim Angels","Edison International Field",77,85
2417,2003,"Arizona Diamondbacks","Bank One Ballpark",84,78
2418,2003,"Atlanta Braves","Turner Field",101,61
2419,2003,"Baltimore Orioles","Oriole Park at Camden Yards",71,91
2420,2003,"Boston Red Sox","Fenway Park II",95,67
2421,2003,"Chicago White Sox","U.S. Cellular Field",86,76
2422,2003,"Chicago Cubs","Wrigley Field",88,74
2423,2003,"Cincinnati Reds","Great American Ball Park",69,93
2424,2003,"Cleveland Indians","Jacobs Field",68,94
2425,2003,"Colorado Rockies","Coors Field",74,88
2426,2003,"Detroit Tigers","Comerica Park",43,119
2427,2003,"Florida Marlins","Pro Player Stadium",91,71
2428,2003,"Houston Astros","Minute Maid Park",87,75
2429,2003,"Kansas City Royals","Kauffman Stadium",83,79
2430,2003,"Los Angeles Dodgers","Dodger Stadium",85,77
2431,2003,"Milwaukee Brewers","Miller Park",68,94
2432,2003,"Minnesota Twins","Hubert H Humphrey Metrodome",90,72
2433,2003,"Montreal Expos","Stade Olympique/Hiram Bithorn Stadium",83,79
2434,2003,"New York Yankees","Yankee Stadium II",101,61
2435,2003,"New York Mets","Shea Stadium",66,95
2436,2003,"Oakland Athletics","Oakland Coliseum",96,66
2437,2003,"Philadelphia Phillies","Veterans Stadium",86,76
2438,2003,"Pittsburgh Pirates","PNC Park",75,87
2439,2003,"San Diego Padres","Qualcomm Stadium",64,98
2440,2003,"Seattle Mariners","Safeco Field",93,69
2441,2003,"San Francisco Giants","PacBell Park",100,61
2442,2003,"St. Louis Cardinals","Busch Stadium II",85,77
2443,2003,"Tampa Bay Devil Rays","Tropicana Field",63,99
2444,2003,"Texas Rangers","The Ballpark at Arlington",71,91
2445,2003,"Toronto Blue Jays",Skydome,86,76
2446,2004,"Anaheim Angels","Angels Stadium of Anaheim",92,70
2447,2004,"Arizona Diamondbacks","Bank One Ballpark",51,111
2448,2004,"Atlanta Braves","Turner Field",96,66
2449,2004,"Baltimore Orioles","Oriole Park at Camden Yards",78,84
2450,2004,"Boston Red Sox","Fenway Park II",98,64
2451,2004,"Chicago White Sox","U.S. Cellular Field",83,79
2452,2004,"Chicago Cubs","Wrigley Field",89,73
2453,2004,"Cincinnati Reds","Great American Ball Park",76,86
2454,2004,"Cleveland Indians","Jacobs Field",80,82
2455,2004,"Colorado Rockies","Coors Field",68,94
2456,2004,"Detroit Tigers","Comerica Park",72,90
2457,2004,"Florida Marlins","Pro Player Stadium",83,79
2458,2004,"Houston Astros","Minute Maid Park",92,70
2459,2004,"Kansas City Royals","Kauffman Stadium",58,104
2460,2004,"Los Angeles Dodgers","Dodger Stadium",93,69
2461,2004,"Milwaukee Brewers","Miller Park",67,94
2462,2004,"Minnesota Twins","Hubert H Humphrey Metrodome",92,70
2463,2004,"Montreal Expos","Stade Olympique/Hiram Bithorn Stadium",67,95
2464,2004,"New York Yankees","Yankee Stadium II",101,61
2465,2004,"New York Mets","Shea Stadium",71,91
2466,2004,"Oakland Athletics","Network Associates Coliseum",91,71
2467,2004,"Philadelphia Phillies","Citizens Bank Park",86,76
2468,2004,"Pittsburgh Pirates","PNC Park",72,89
2469,2004,"San Diego Padres","Petco Park",87,75
2470,2004,"Seattle Mariners","Safeco Field",63,99
2471,2004,"San Francisco Giants","SBC Park",91,71
2472,2004,"St. Louis Cardinals","Busch Stadium II",105,57
2473,2004,"Tampa Bay Devil Rays","Tropicana Field",70,91
2474,2004,"Texas Rangers","The Ballpark at Arlington",89,73
2475,2004,"Toronto Blue Jays",Skydome,67,94
2476,2005,"Arizona Diamondbacks","Bank One Ballpark",77,85
2477,2005,"Atlanta Braves","Turner Field",90,72
2478,2005,"Baltimore Orioles","Oriole Park at Camden Yards",74,88
2479,2005,"Boston Red Sox","Fenway Park II",95,67
2480,2005,"Chicago White Sox","U.S. Cellular Field",99,63
2481,2005,"Chicago Cubs","Wrigley Field",79,83
2482,2005,"Cincinnati Reds","Great American Ball Park",73,89
2483,2005,"Cleveland Indians","Jacobs Field",93,69
2484,2005,"Colorado Rockies","Coors Field",67,95
2485,2005,"Detroit Tigers","Comerica Park",71,91
2486,2005,"Florida Marlins","Dolphin Stadium",83,79
2487,2005,"Houston Astros","Minute Maid Park",89,73
2488,2005,"Kansas City Royals","Kauffman Stadium",56,106
2489,2005,"Los Angeles Angels of Anaheim","Angel Stadium",95,67
2490,2005,"Los Angeles Dodgers","Dodger Stadium",71,91
2491,2005,"Milwaukee Brewers","Miller Park",81,81
2492,2005,"Minnesota Twins","Hubert H Humphrey Metrodome",83,79
2493,2005,"New York Yankees","Yankee Stadium II",95,67
2494,2005,"New York Mets","Shea Stadium",83,79
2495,2005,"Oakland Athletics","McAfee Coliseum",88,74
2496,2005,"Philadelphia Phillies","Citizens Bank Park",88,74
2497,2005,"Pittsburgh Pirates","PNC Park",67,95
2498,2005,"San Diego Padres","Petco Park",82,80
2499,2005,"Seattle Mariners","Safeco Field",69,93
2500,2005,"San Francisco Giants","SBC Park",75,87
2501,2005,"St. Louis Cardinals","Busch Stadium II",100,62
2502,2005,"Tampa Bay Devil Rays","Tropicana Field",67,95
2503,2005,"Texas Rangers","Ameriquest Field",79,83
2504,2005,"Toronto Blue Jays","Rogers Centre",80,82
2505,2005,"Washington Nationals","R.F.K. Stadium",81,81
2506,2006,"Arizona Diamondbacks","Chase Field",76,86
2507,2006,"Atlanta Braves","Turner Field",79,83
2508,2006,"Baltimore Orioles","Oriole Park at Camden Yards",70,92
2509,2006,"Boston Red Sox","Fenway Park II",86,76
2510,2006,"Chicago White Sox","U.S. Cellular Field",90,72
2511,2006,"Chicago Cubs","Wrigley Field",66,96
2512,2006,"Cincinnati Reds","Great American Ball Park",80,82
2513,2006,"Cleveland Indians","Jacobs Field",78,84
2514,2006,"Colorado Rockies","Coors Field",76,86
2515,2006,"Detroit Tigers","Comerica Park",95,67
2516,2006,"Florida Marlins","Dolphin Stadium",78,84
2517,2006,"Houston Astros","Minute Maid Park",82,80
2518,2006,"Kansas City Royals","Kauffman Stadium",62,100
2519,2006,"Los Angeles Angels of Anaheim","Angel Stadium",89,73
2520,2006,"Los Angeles Dodgers","Dodger Stadium",88,74
2521,2006,"Milwaukee Brewers","Miller Park",75,87
2522,2006,"Minnesota Twins","Hubert H Humphrey Metrodome",96,66
2523,2006,"New York Yankees","Yankee Stadium II",97,65
2524,2006,"New York Mets","Shea Stadium",97,65
2525,2006,"Oakland Athletics","McAfee Coliseum",93,69
2526,2006,"Philadelphia Phillies","Citizens Bank Park",85,77
2527,2006,"Pittsburgh Pirates","PNC Park",67,95
2528,2006,"San Diego Padres","Petco Park",88,74
2529,2006,"Seattle Mariners","Safeco Field",78,84
2530,2006,"San Francisco Giants","AT&T Park",76,85
2531,2006,"St. Louis Cardinals","Busch Stadium III",83,78
2532,2006,"Tampa Bay Devil Rays","Tropicana Field",61,101
2533,2006,"Texas Rangers","Ameriquest Field",80,82
2534,2006,"Toronto Blue Jays","Rogers Centre",87,75
2535,2006,"Washington Nationals","R.F.K. Stadium",71,91
2536,2007,"Arizona Diamondbacks","Chase Field",90,72
2537,2007,"Atlanta Braves","Turner Field",84,78
2538,2007,"Baltimore Orioles","Oriole Park at Camden Yards",69,93
2539,2007,"Boston Red Sox","Fenway Park II",96,66
2540,2007,"Chicago White Sox","U.S. Cellular Field",72,90
2541,2007,"Chicago Cubs","Wrigley Field",85,77
2542,2007,"Cincinnati Reds","Great American Ball Park",72,90
2543,2007,"Cleveland Indians","Jacobs Field",96,66
2544,2007,"Colorado Rockies","Coors Field",90,73
2545,2007,"Detroit Tigers","Comerica Park",88,74
2546,2007,"Florida Marlins","Dolphin Stadium",71,91
2547,2007,"Houston Astros","Minute Maid Park",73,89
2548,2007,"Kansas City Royals","Kauffman Stadium",69,93
2549,2007,"Los Angeles Angels of Anaheim","Angel Stadium",94,68
2550,2007,"Los Angeles Dodgers","Dodger Stadium",82,80
2551,2007,"Milwaukee Brewers","Miller Park",83,79
2552,2007,"Minnesota Twins","Hubert H Humphrey Metrodome",79,83
2553,2007,"New York Yankees","Yankee Stadium II",94,68
2554,2007,"New York Mets","Shea Stadium",88,74
2555,2007,"Oakland Athletics","McAfee Coliseum",76,86
2556,2007,"Philadelphia Phillies","Citizens Bank Park",89,73
2557,2007,"Pittsburgh Pirates","PNC Park",68,94
2558,2007,"San Diego Padres","Petco Park",89,74
2559,2007,"Seattle Mariners","Safeco Field",88,74
2560,2007,"San Francisco Giants","AT&T Park",71,91
2561,2007,"St. Louis Cardinals","Busch Stadium III",78,84
2562,2007,"Tampa Bay Devil Rays","Tropicana Field",66,96
2563,2007,"Texas Rangers","Rangers Ballpark in Arlington",75,87
2564,2007,"Toronto Blue Jays","Rogers Centre",83,79
2565,2007,"Washington Nationals","R.F.K. Stadium",73,89
2566,2008,"Arizona Diamondbacks","Chase Field",82,80
2567,2008,"Atlanta Braves","Turner Field",72,90
2568,2008,"Baltimore Orioles","Oriole Park at Camden Yards",68,93
2569,2008,"Boston Red Sox","Fenway Park II",95,67
2570,2008,"Chicago White Sox","U.S. Cellular Field",89,74
2571,2008,"Chicago Cubs","Wrigley Field",97,64
2572,2008,"Cincinnati Reds","Great American Ball Park",74,88
2573,2008,"Cleveland Indians","Jacobs Field",81,81
2574,2008,"Colorado Rockies","Coors Field",74,88
2575,2008,"Detroit Tigers","Comerica Park",74,88
2576,2008,"Florida Marlins","Dolphin Stadium",84,77
2577,2008,"Houston Astros","Minute Maid Park",86,75
2578,2008,"Kansas City Royals","Kauffman Stadium",75,87
2579,2008,"Los Angeles Angels of Anaheim","Angel Stadium",100,62
2580,2008,"Los Angeles Dodgers","Dodger Stadium",84,78
2581,2008,"Milwaukee Brewers","Miller Park",90,72
2582,2008,"Minnesota Twins","Hubert H Humphrey Metrodome",88,75
2583,2008,"New York Yankees","Yankee Stadium II",89,73
2584,2008,"New York Mets","Shea Stadium",89,73
2585,2008,"Oakland Athletics","McAfee Coliseum",75,86
2586,2008,"Philadelphia Phillies","Citizens Bank Park",92,70
2587,2008,"Pittsburgh Pirates","PNC Park",67,95
2588,2008,"San Diego Padres","Petco Park",63,99
2589,2008,"Seattle Mariners","Safeco Field",61,101
2590,2008,"San Francisco Giants","AT&T Park",72,90
2591,2008,"St. Louis Cardinals","Busch Stadium III",86,76
2592,2008,"Tampa Bay Rays","Tropicana Field",97,65
2593,2008,"Texas Rangers","Rangers Ballpark in Arlington",79,83
2594,2008,"Toronto Blue Jays","Rogers Centre",86,76
2595,2008,"Washington Nationals","Nationals Park",59,102
2596,2009,"Arizona Diamondbacks","Chase Field",70,92
2597,2009,"Atlanta Braves","Turner Field",86,76
2598,2009,"Baltimore Orioles","Oriole Park at Camden Yards",64,98
2599,2009,"Boston Red Sox","Fenway Park II",95,67
2600,2009,"Chicago White Sox","U.S. Cellular Field",79,83
2601,2009,"Chicago Cubs","Wrigley Field",83,78
2602,2009,"Cincinnati Reds","Great American Ball Park",78,84
2603,2009,"Cleveland Indians","Jacobs Field",65,97
2604,2009,"Colorado Rockies","Coors Field",92,70
2605,2009,"Detroit Tigers","Comerica Park",86,77
2606,2009,"Florida Marlins","Dolphin Stadium",87,75
