id,year,name,park,wins,losses
2703,2012,"New York Yankees","Yankee Stadium III",95,67
2704,2012,"New York Mets","Citi Field",74,88
2705,2012,"Oakland Athletics","O.co Coliseum",94,68
2706,2012,"Philadelphia Phillies","Citizens Bank Park",81,81
2707,2012,"Pittsburgh Pirates","PNC Park",79,83
2708,2012,"San Diego Padres","Petco Park",76,86
2709,2012,"Seattle Mariners","Safeco Field",75,87
2710,2012,"San Francisco Giants","AT&T Park",94,68
2711,2012,"St. Louis Cardinals","Busch Stadium III",88,74
2712,2012,"Tampa Bay Rays","Tropicana Field",90,72
2713,2012,"Texas Rangers","Rangers Ballpark in Arlington",93,69
2714,2012,"Toronto Blue Jays","Rogers Centre",73,89
2715,2012,"Washington Nationals","Nationals Park",98,64
2716,2013,"Arizona Diamondbacks","Chase Field",81,81
2717,2013,"Atlanta Braves","Turner Field",96,66
2718,2013,"Baltimore Orioles","Oriole Park at Camden Yards",85,77
2719,2013,"Boston Red Sox","Fenway Park II",97,65
2720,2013,"Chicago White Sox","U.S. Cellular Field",63,99
2721,2013,"Chicago Cubs","Wrigley Field",66,96
2722,2013,"Cincinnati Reds","Great American Ball Park",90,72
2723,2013,"Cleveland Indians","Progressive Field",92,70
2724,2013,"Colorado Rockies","Coors Field",74,88
2725,2013,"Detroit Tigers","Comerica Park",93,69
2726,2013,"Houston Astros","Minute Maid Park",51,111
2727,2013,"Kansas City Royals","Kauffman Stadium",86,76
2728,2013,"Los Angeles Angels of Anaheim","Angel Stadium of Anaheim",78,84
2729,2013,"Los Angeles Dodgers","Dodger Stadium",92,70
2730,2013,"Miami Marlins","Marlins Park",62,100
2731,2013,"Milwaukee Brewers","Miller Park",74,88
2732,2013,"Minnesota Twins","Target Field",66,96
2733,2013,"New York Yankees","Yankee Stadium III",85,77
2734,2013,"New York Mets","Citi Field",74,88
2735,2013,"Oakland Athletics","O.co Coliseum",96,66
2736,2013,"Philadelphia Phillies","Citizens Bank Park",73,89
2737,2013,"Pittsburgh Pirates","PNC Park",94,68
2738,2013,"San Diego Padres","Petco Park",76,86
2739,2013,"Seattle Mariners","Safeco Field",71,91
2740,2013,"San Francisco Giants","AT&T Park",76,86
2741,2013,"St. Louis Cardinals","Busch Stadium III",97,65
2742,2013,"Tampa Bay Rays","Tropicana Field",92,71
2743,2013,"Texas Rangers","Rangers Ballpark in Arlington",91,72
2744,2013,"Toronto Blue Jays","Rogers Centre",74,88
2745,2013,"Washington Nationals","Nationals Park",86,76
2746,2014,"Arizona Diamondbacks","Chase Field",64,98
2747,2014,"Atlanta Braves","Turner Field",79,83
2748,2014,"Baltimore Orioles","Oriole Park at Camden Yards",96,66
2749,2014,"Boston Red Sox","Fenway Park II",71,91
2750,2014,"Chicago White Sox","U.S. Cellular Field",73,89
2751,2014,"Chicago Cubs","Wrigley Field",73,89
2752,2014,"Cincinnati Reds","Great American Ball Park",76,86
2753,2014,"Cleveland Indians","Progressive Field",85,77
2754,2014,"Colorado Rockies","Coors Field",66,96
2755,2014,"Detroit Tigers","Comerica Park",90,72
2756,2014,"Houston Astros","Minute Maid Park",70,92
2757,2014,"Kansas City Royals","Kauffman Stadium",89,73
2758,2014,"Los Angeles Angels of Anaheim","Angel Stadium of Anaheim",98,64
2759,2014,"Los Angeles Dodgers","Dodger Stadium",94,68
2760,2014,"Miami Marlins","Marlins Park",77,85
2761,2014,"Milwaukee Brewers","Miller Park",82,80
2762,2014,"Minnesota Twins","Target Field",70,92
2763,2014,"New York Yankees","Yankee Stadium III",84,78
2764,2014,"New York Mets","Citi Field",79,83
2765,2014,"Oakland Athletics","O.co Coliseum",88,74
2766,2014,"Philadelphia Phillies","Citizens Bank Park",73,89
2767,2014,"Pittsburgh Pirates","PNC Park",88,74
2768,2014,"San Diego Padres","Petco Park",77,85
2769,2014,"Seattle Mariners","Safeco Field",87,75
2770,2014,"San Francisco Giants","AT&T Park",88,74
2771,2014,"St. Louis Cardinals","Busch Stadium III",90,72
2772,2014,"Tampa Bay Rays","Tropicana Field",77,85
2773,2014,"Texas Rangers","Rangers Ballpark in Arlington",67,95
2774,2014,"Toronto Blue Jays","Rogers Centre",83,79
2775,2014,"Washington Nationals","Nationals Park",96,66
2776,2015,"Arizona Diamondbacks","Chase Field",79,83
2777,2015,"Atlanta Braves","Turner Field",67,95
2778,2015,"Baltimore Orioles","Oriole Park at Camden Yards",81,81
2779,2015,"Boston Red Sox","Fenway Park II",78,84
2780,2015,"Chicago White Sox","U.S. Cellular Field",76,86
2781,2015,"Chicago Cubs","Wrigley Field",97,65
2782,2015,"Cincinnati Reds","Great American Ball Park",64,98
2783,2015,"Cleveland Indians","Progressive Field",81,80
2784,2015,"Colorado Rockies","Coors Field",68,94
2785,2015,"Detroit Tigers","Comerica Park",74,87
2786,2015,"Houston Astros","Minute Maid Park",86,76
2787,2015,"Kansas City Royals","Kauffman Stadium",95,67
2788,2015,"Los Angeles Angels of Anaheim","Angel Stadium of Anaheim",85,77
2789,2015,"Los Angeles Dodgers","Dodger Stadium",92,70
2790,2015,"Miami Marlins","Marlins Park",71,91
2791,2015,"Milwaukee Brewers","Miller Park",68,94
2792,2015,"Minnesota Twins","Target Field",83,79
2793,2015,"New York Yankees","Yankee Stadium III",87,75
2794,2015,"New York Mets","Citi Field",90,72
2795,2015,"Oakland Athletics","O.co Coliseum",68,94
2796,2015,"Philadelphia Phillies","Citizens Bank Park",63,99
2797,2015,"Pittsburgh Pirates","PNC Park",98,64
2798,2015,"San Diego Padres","Petco Park",74,88
2799,2015,"Seattle Mariners","Safeco Field",76,86
2800,2015,"San Francisco Giants","AT&T Park",84,78
2801,2015,"St. Louis Cardinals","Busch Stadium III",100,62
2802,2015,"Tampa Bay Rays","Tropicana Field",80,82
2803,2015,"Texas Rangers","Rangers Ballpark in Arlington",88,74
2804,2015,"Toronto Blue Jays","Rogers Centre",93,69
2805,2015,"Washington Nationals","Nationals Park",83,79
2806,2016,"Arizona Diamondbacks","Chase Field",69,93
2807,2016,"Atlanta Braves","Turner Field",68,93
2808,2016,"Baltimore Orioles","Oriole Park at Camden Yards",89,73
2809,2016,"Boston Red Sox","Fenway Park II",93,69
2810,2016,"Chicago White Sox","U.S. Cellular Field",78,84
2811,2016,"Chicago Cubs","Wrigley Field",103,58
2812,2016,"Cincinnati Reds","Great American Ball Park",68,94
2813,2016,"Cleveland Indians","Progressive Field",94,67
2814,2016,"Colorado Rockies","Coors Field",75,87
2815,2016,"Detroit Tigers","Comerica Park",86,75
2816,2016,"Houston Astros","Minute Maid Park",84,78
2817,2016,"Kansas City Royals","Kauffman Stadium",81,81
2818,2016,"Los Angeles Angels of Anaheim","Angel Stadium of Anaheim",74,88
2819,2016,"Los Angeles Dodgers","Dodger Stadium",91,71
2820,2016,"Miami Marlins","Marlins Park",79,82
2821,2016,"Milwaukee Brewers","Miller Park",73,89
2822,2016,"Minnesota Twins","Target Field",59,103
2823,2016,"New York Yankees","Yankee Stadium III",84,78
2824,2016,"New York Mets","Citi Field",87,75
2825,2016,"Oakland Athletics","O.co Coliseum",69,93
2826,2016,"Philadelphia Phillies","Citizens Bank Park",71,91
2827,2016,"Pittsburgh Pirates","PNC Park",78,83
2828,2016,"San Diego Padres","Petco Park",68,94
2829,2016,"Seattle Mariners","Safeco Field",86,76
2830,2016,"San Francisco Giants","AT&T Park",87,75
2831,2016,"St. Louis Cardinals","Busch Stadium III",86,76
2832,2016,"Tampa Bay Rays","Tropicana Field",68,94
2833,2016,"Texas Rangers","Rangers Ballpark in Arlington",95,67
2834,2016,"Toronto Blue Jays","Rogers Centre",89,73
2835,2016,"Washington Nationals","Nationals Park",95,67
2836,2017,"Arizona Diamondbacks","Chase Field",93,69
2837,2017,"Atlanta Braves","SunTrust Park",72,90
2838,2017,"Baltimore Orioles","Oriole Park at Camden Yards",75,87
2839,2017,"Boston Red Sox","Fenway Park II",93,69
2840,2017,"Chicago White Sox","U.S. Cellular Field",67,95
2841,2017,"Chicago Cubs","Wrigley Field",92,70
2842,2017,"Cincinnati Reds","Great American Ball Park",68,94
2843,2017,"Cleveland Indians","Progressive Field",102,60
2844,2017,"Colorado Rockies","Coors Field",87,75
2845,2017,"Detroit Tigers","Comerica Park",64,98
2846,2017,"Houston Astros","Minute Maid Park",101,61
2847,2017,"Kansas City Royals","Kauffman Stadium",80,82
2848,2017,"Los Angeles Angels of Anaheim","Angel Stadium of Anaheim",80,82
2849,2017,"Los Angeles Dodgers","Dodger Stadium",104,58
2850,2017,"Miami Marlins","Marlins Park",77,85
2851,2017,"Milwaukee Brewers","Miller Park",86,76
2852,2017,"Minnesota Twins","Target Field",85,77
2853,2017,"New York Yankees","Yankee Stadium III",91,71
2854,2017,"New York Mets","Citi Field",70,92
2855,2017,"Oakland Athletics","O.co Coliseum",75,87
2856,2017,"Philadelphia Phillies","Citizens Bank Park",66,96
2857,2017,"Pittsburgh Pirates","PNC Park",75,87
2858,2017,"San Diego Padres","Petco Park",71,91
2859,2017,"Seattle Mariners","Safeco Field",78,84
2860,2017,"San Francisco Giants","AT&T Park",64,98
2861,2017,"St. Louis Cardinals","Busch Stadium III",83,79
2862,2017,"Tampa Bay Rays","Tropicana Field",80,82
2863,2017,"Texas Rangers","Rangers Ballpark in Arlington",78,84
2864,2017,"Toronto Blue Jays","Rogers Centre",76,86
2865,2017,"Washington Nationals","Nationals Park",97,65
2866,2018,"Arizona Diamondbacks","Chase Field",82,80
2867,2018,"Atlanta Braves","SunTrust Park",90,72
2868,2018,"Baltimore Orioles","Oriole Park at Camden Yards",47,115
2869,2018,"Boston Red Sox","Fenway Park II",108,54
2870,2018,"Chicago White Sox","Guaranteed Rate Field",62,100
2871,2018,"Chicago Cubs","Wrigley Field",95,68
2872,2018,"Cincinnati Reds","Great American Ball Park",67,95
2873,2018,"Cleveland Indians","Progressive Field",91,71
2874,2018,"Colorado Rockies","Coors Field",91,72
2875,2018,"Detroit Tigers","Comerica Park",64,98
2876,2018,"Houston Astros","Minute Maid Park",103,59
2877,2018,"Kansas City Royals","Kauffman Stadium",58,104
2878,2018,"Los Angeles Angels of Anaheim","Angel Stadium of Anaheim",80,82
2879,2018,"Los Angeles Dodgers","Dodger Stadium",92,71
2880,2018,"Miami Marlins","Marlins Park",63,98
2881,2018,"Milwaukee Brewers","Miller Park",96,67
2882,2018,"Minnesota Twins","Target Field",78,84
2883,2018,"New York Yankees","Yankee Stadium III",100,62
2884,2018,"New York Mets","Citi Field",77,85
2885,2018,"Oakland Athletics","O.co Coliseum",97,65
2886,2018,"Philadelphia Phillies","Citizens Bank Park",80,82
2887,2018,"Pittsburgh Pirates","PNC Park",82,79
2888,2018,"San Diego Padres","Petco Park",66,96
2889,2018,"Seattle Mariners","Safeco Field",89,73
2890,2018,"San Francisco Giants","AT&T Park",73,89
2891,2018,"St. Louis Cardinals","Busch Stadium III",88,74
2892,2018,"Tampa Bay Rays","Tropicana Field",90,72
2893,2018,"Texas Rangers","Globe Life Park in Arlington",67,95
2894,2018,"Toronto Blue Jays","Rogers Centre",73,89
2895,2018,"Washington Nationals","Nationals Park",82,80
2896,2019,"Arizona Diamondbacks","Chase Field",85,77
2897,2019,"Atlanta Braves","SunTrust Park",97,65
2898,2019,"Baltimore Orioles","Oriole Park at Camden Yards",54,108
2899,2019,"Boston Red Sox","Fenway Park II",84,78
2900,2019,"Chicago White Sox","Guaranteed Rate Field",72,89
2901,2019,"Chicago Cubs","Wrigley Field",84,78
2902,2019,"Cincinnati Reds","Great American Ball Park",75,87
2903,2019,"Cleveland Indians","Progressive Field",93,69
2904,2019,"Colorado Rockies","Coors Field",71,91
2905,2019,"Detroit Tigers","Comerica Park",47,114
2906,2019,"Houston Astros","Minute Maid Park",107,55
2907,2019,"Kansas City Royals","Kauffman Stadium",59,103
2908,2019,"Los Angeles Angels of Anaheim","Angel Stadium of Anaheim",72,90
2909,2019,"Los Angeles Dodgers","Dodger Stadium",106,56
2910,2019,"Miami Marlins","Marlins Park",57,105
2911,2019,"Milwaukee Brewers","Miller Park",89,73
2912,2019,"Minnesota Twins","Target Field",101,61
2913,2019,"New York Yankees","Yankee Stadium III",103,59
2914,2019,"New York Mets","Citi Field",86,76
2915,2019,"Oakland Athletics","O.co Coliseum",97,65
2916,2019,"Philadelphia Phillies","Citizens Bank Park",81,81
2917,2019,"Pittsburgh Pirates","PNC Park",69,93
2918,2019,"San Diego Padres","Petco Park",70,92
2919,2019,"Seattle Mariners","T-Mobile Park",68,94
2920,2019,"San Francisco Giants","Oracle Park",77,85
2921,2019,"St. Louis Cardinals","Busch Stadium III",91,71
2922,2019,"Tampa Bay Rays","Tropicana Field",96,66
2923,2019,"Texas Rangers","Globe Life Park in Arlington",78,84
2924,2019,"Toronto Blue Jays","Rogers Centre",67,95
2925,2019,"Washington Nationals","Nationals Park",93,69
2926,2020,"Arizona Diamondbacks","Chase Field",25,35
2927,2020,"Atlanta Braves","SunTrust Park",35,25
2928,2020,"Baltimore Orioles","Oriole Park at Camden Yards",25,35
2929,2020,"Boston Red Sox","Fenway Park II",24,36
2930,2020,"Chicago White Sox","Guaranteed Rate Field",35,25
2931,2020,"Chicago Cubs","Wrigley Field",34,26
2932,2020,"Cincinnati Reds","Great American Ball Park",31,29
2933,2020,"Cleveland Indians","Progressive Field",35,25
2934,2020,"Colorado Rockies","Coors Field",26,34
2935,2020,"Detroit Tigers","Comerica Park",23,35
2936,2020,"Houston Astros","Minute Maid Park",29,31
2937,2020,"Kansas City Royals","Kauffman Stadium",26,34
2938,2020,"Los Angeles Angels of Anaheim","Angel Stadium of Anaheim",26,34
2939,2020,"Los Angeles Dodgers","Dodger Stadium",43,17
2940,2020,"Miami Marlins","Marlins Park",31,29
2941,2020,"Milwaukee Brewers","Miller Park",29,31
2942,2020,"Minnesota Twins","Target Field",36,24
2943,2020,"New York Yankees","Yankee Stadium III",33,27
2944,2020,"New York Mets","Citi Field",26,34
2945,2020,"Oakland Athletics","O.co Coliseum",36,24
2946,2020,"Philadelphia Phillies","Citizens Bank Park",28,32
2947,2020,"Pittsburgh Pirates","PNC Park",19,41
2948,2020,"San Diego Padres","Petco Park",37,23
2949,2020,"Seattle Mariners","T-Mobile Park",27,33
2950,2020,"San Francisco Giants","Oracle Park",29,31
2951,2020,"St. Louis Cardinals","Busch Stadium III",30,28
2952,2020,"Tampa Bay Rays","Tropicana Field",40,20
2953,2020,"Texas Rangers","Globe Life Field",22,38
2954,2020,"Toronto Blue Jays","Sahlen Field",32,28
2955,2020,"Washington Nationals","Nationals Park",26,34
